38,C3H4.pm,463-49-0,Propadiene,0,\parencite{Vrabec2001},2 L.J. Centers & 1 Quadrupole,pm\ok,-,Rigid
39,C3H6\_a.pm,115-07-1,Propylene,0,\parencite{Vrabec2001},2 L.J. Centers & 1 Quadrupole,pm\ok,-,Rigid
40,C3H6\_b.pm,75-19-4,Cyclopropane,0,\parencite{Munoz2015},3 L.J. Centers,pm\ok,-,Rigid
41,C4F10.pm,355-25-9,Perfluorobutane,0,\parencite{Koester2012},14 L.J. Centers & 14 Charges,pm\ok,-,Rigid
42,C4H10.pm,75-28-5,Isobutane,0,\parencite{Eckl2008_C},4 L.J. Centers & 1 Dipole & 1 Quadrupole,pm\ok,-,Rigid
43,C4H4S\_I.pm,110-02-1,Thiophene,0,\parencite{Eckl2008_C},5 L.J. Centers & 1 Dipole & 1 Quadrupole,pm\ok,-,Rigid
44,C4H8.pm,287-23-0,Cyclobutane,0,\parencite{Munoz2015},4 L.J. Centers,pm\ok,-,Rigid
45,C5H10\_dfg.pm,287-92-3,Cyclopentane,0,\parencite{Munoz2015},5 L.J. Centers ,pm\ok,-,Rigid
46,C5H10\_diff.pm,287-92-3,Cyclopentane,0,\parencite{Munoz2015},5 L.J. Centers,pm\ok,-,Rigid
47,C6H10O.pm,108-94-1,Cyclohexanone,0,\parencite{Merker2012},7 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
48,C6H12\_dfg.pm,110-82-7,Cyclohexane,0,\parencite{Munoz2015},6 L.J. Centers,pm\ok,-,Rigid
49,C6H12\_diff.pm,110-82-7,Cyclohexane,0,\parencite{Munoz2015},6 L.J. Centers,pm\ok,-,Rigid
50,C6H12\_I.pm,110-82-7,Cyclohexane,0,\parencite{Eckl2008_C},6 L.J. Centers & 1 Quadrupole,pm\ok,-,Rigid
51,C6H12\_II.pm,110-82-7,Cyclohexane,0,\parencite{Merker2012},6 L.J. Centers,pm\ok,-,Rigid
52,C6H12O\_II.pm,108-93-0,Cyclohexanol,0,\parencite{Merker2009},7 L.J. Centers & 3 Charges 1 Quadrupole,pm\ok,-,Rigid
53,C6H4Cl2.pm,95-50-1,ortho-Dichlorobenzene,0,\parencite{Huang2011},8 L.J. Centers & 1 Dipole & 4 Quadrupoles,pm\ok,-,Rigid
54,C6H5Cl.pm,108-90-7,Chlorobenzene,0,\parencite{Huang2011},7 L.J. Centers & 1 Dipole & 5 Quadrupoles,pm\ok,-,Rigid
55,C6H6\_ I.pm,71-43-2,Benzene,0,\parencite{Guevara-Carrion2016},6 L.J. Centers & 6 Quadrupoles,pm\ok,-,Rigid
56,C6H6\_II.pm,71-43-2,Benzene,0,\parencite{Huang2011},6 L.J. Centers & 6 Quadrupoles,pm\ok,-,Rigid
57,C7H8\_I.pm,108-88-3,Toluene,0,\parencite{Guevara-Carrion2016},7 L.J. Centers & 6 Quadrupoles,pm\ok,-,Rigid
58,C7H8\_II.pm,108-88-3,Toluene,0,\parencite{Huang2011},7 L.J. Centers & 1 Dipole & 5 Quadrupoles,pm\ok,-,Rigid
59,Ca2+.pm,17787-72-3,Calcium ion (2+),0,\parencite{Deublein2012_A},1 L.J. Center & 1 Charge,pm\ok,-,Rigid
60,CBr2F2.pm,75-61-6,Dibromodifluoromethane,0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
61,CBrCl3.pm,75-62-7,Bromotrichloromethane,0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
62,CBrClF2.pm,353-59-3,Bromochlorodifluoromethane,0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
63,CC2HBrClF3.pm,151-67-7,Halothane,0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
64,CCl2O.pm,75-44-5,Phosgene,0,\parencite{Huang2011},4 L.J. Centers & 1 Dipole & 1 Quadrupole,pm\ok,-,Rigid
65,CCl4\_I.pm,56-23-5,Carbon tetrachloride,0,\parencite{Vrabec2001},2 L.J. Centers & 1 Quadrupole,pm\ok,-,Rigid
66,CCl4\_II.pm,56-23-5,Carbon tetrachloride,0,\parencite{Guevara-Carrion2016},5 L.J. Centers & 5 Charges,pm\ok,-,Rigid
67,CClN.pm,506-77-4,Cyanogen chloride,0,\parencite{Miroshnichenko2013},3 L.J. Centers & 1 Quadrupole & 1 Dipole,pm\ok,-,Rigid
68,CF2CFBr.pm,598-73-2,Bromotrifluoroethylene ,0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
69,CF4\_II.pm,75-73-0,Tetrafluoromethane,0,\parencite{Vrabec2001},2 L.J. Centers & 1 Quadrupole,pm\ok,-,Rigid
